to_usgs, from_usgs
03192000, "{03189100,03190000,03191500}"
02352500, "{02350512,02351890,02350900}"
11159000, "{11153000,11158600,11153650}"
03431790, "{03431500,03431599,03431700}"
05594100, "{05593000,05593575,05594000}"
14312000, "{14310000,14308500,14308000}"
06294000, "{06289000,06289820,06289600}"
03069500, "{03065000,03066000,03068800}"
05537980, "{05536890,05533600,05537500}"
03539800, "{03539778,03538830,03539600}"
09404200, "{09402500,09404115,09403850}"
08181800, "{08181500,08178800,08178565}"
03286500, "{03284500,03286200}"
04113000, "{04112500,04112850,04111000}"
12210700, "{12210000,12208000,12205000}"
02162500, "{02162350,021623975,02162290}"
01554000, "{01540500,01553500,01553850}"
05129515, "{05127500,05129115,05129290}"
11447650, "{11425500,11446500,11447360}"
01400500, "{01400000,01397000,01398000}"
01526500, "{01525500,01525981,01520500}"
11451800, "{11451300,11451715,11451000}"
14142500, "{14137000,14141500,14140000}"
06483950, "{06482020,06482610,06483500}"
11477000, "{11475000,11476500}"
01536500, "{01536000,01534000,01533400}"
04260500, "{04256000,04258000,04252500}"
09503700, "{09502900,09503300,09502800}"
01170000, "{01169000,01168500,01169900}"
06888350, "{06887500,06888000,06888300}"
05316580, "{05311150,05313500,05316500}"
12113000, "{12108500,12106700,12112600}"
02034000, "{02032640,02032250,02031000}"
01135500, "{01133000,01134500,01135300}"
06800500, "{06799500,06799350,06800000}"
11525655, "{11525500,11525630,11525530}"
02083500, "{02082770,02082585,02083000}"
12324200, "{12323850,12323770,12323800}"
08055500, "{08053000,08053009,08055000}"
01481000, "{01480870,01480617,01480638}"
03325000, "{03323000,03324300,03324000}"
07257500, "{}"
11044000, "{11042800,11042400,11042900}"
07227500, "{07227100,07227000}"
14092500, "{14091500,14076500,14087400}"
05365500, "{05362000,05356500,05360500}"
01613000, "{01610000,01610155,01611500}"
01581757, "{01581700,01581752,0158175320}"
11289650, "{11284400,11278400,11276600}"
08136700, "{08126380,08127000,08136500}"
06024450, "{06023800,06023500,06024020}"
01403060, "{01400500,01402630,01402000}"
03340500, "{03339000,03336000,03339500}"
06803513, "{06803510,06803495,06803502}"
06065500, "{06054500,06063000,06061500}"
02105500, "{02102500,02103000,02104220}"
07010075, "{07010055,07010061,07010070}"
01553025, "{01551500,01552000}"
02365200, "{02361500,02362240,02364500}"
13056500, "{13050500,13055250,13055340}"
13152500, "{13142500,13148500,13150430}"
12116400, "{12115500,12115000,12115700}"
10136500, "{10132500,10132000,10134500}"
01567000, "{01564895,01565000,01566000}"
05437500, "{05430500,05431486,05437050}"
02382500, "{02381090,02380500,02382200}"
06306300, "{06305700}"
